ParkID,Name,Icon,Region,Thumbnail,Text1,Text2,ParkUrl,ParkUrlText,MapUrl,MapUrlText,TourUrl,TourUrlText,Location
Bottle_Beach,Bottle Beach,sunny,Pacific Coast Region,https://sites.google.com/site/virtualrangerproject/home/files/BottleBeach.jpg,"Bottle Beach State Park is a 75-acre day-use park with 6,000 feet of shoreline on Grays Harbor. The open tide flats are the park's most significant feature. Mud flats in the area support a rich supply of invertebrates that attract shorebirds as they migrate from Central and South America to their breeding grounds in the Arctic.",Bottle Beach State Park is located on the historic town site of Ocosta.,http://parks.state.wa.us/479/Bottle-Beach,Park Website,,Park Map,,,"<Point><coordinates>-124.041504,46.892829,0.0</coordinates></Point>"
Bridgeport,Bridgeport,campground,North Central Region,https://sites.google.com/site/virtualrangerproject/home/files/Bridgeport.jpg,"Bridgeport State Park is a 748-acre camping park with 7,500 feet of freshwater shoreline on Rufus Woods Lake. Set directly behind Chief Joseph Dam, this lake is actually a segment of the Columbia River. The park provides 18 acres of lawn and some shade in the midst of a desert terrain. ""Haystacks,"" unusual volcanic formations resembling their name, are the park's most striking feature.",The park was created as part of a cooperative agreement between Washington State Parks and the U.S. Army Corps of Engineers. The Corps is involved in park-building because of an operating agreement for dams which requires the corps to rebuild recreation areas.,http://parks.state.wa.us/480/Bridgeport,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1845,Park Map,,,"<Point><coordinates>-119.609478,48.013089,0.0</coordinates></Point>"
Bridle_Trails,Bridle Trails,sunny,Seattle-Tacoma Region,https://sites.google.com/site/virtualrangerproject/home/files/BridalTrails.jpg,"Bridle Trails State Park, a 482-acre day-use park, is well-known for its horse trails and equestrian shows. The forested park is on the northeast edge of the Seattle metropolitan area.","The park has been under state ownership since the 1880s. By the 1930s, the area was popular as a place for horseback riding, and a trail system had been developed by community riding enthusiasts. Concerned about protecting the land, citizens petitioned the state legislature to make Bridle Trails a state park.",http://parks.state.wa.us/481/Bridle-Trails,Park Website,,Park Map,,,"<Point><coordinates>-122.184491,47.654996,0.0</coordinates></Point>"
Brooks_Memorial,Brooks Memorial,campground,Southcentral Region,https://sites.google.com/site/virtualrangerproject/home/files/BrooksMemorial.jpg,"Brooks Memorial State Park is a 700-acre, year-round camping park located between the barren hills of the south Yakima Valley and the lodgepole pine forests of the Simcoe Mountains. The park provides a variety of natural environments for visitors to enjoy.","Acquired in six parcels between 1944 and 1957, Brooks Memorial State Park is named for and dedicated to area citizen Nelson B. Brooks, who is credited with establishing an excellent community road system.",http://parks.state.wa.us/482/Brooks-Memorial,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1846,Park Map,,,"<Point><coordinates>-120.663879,45.949679,0.0</coordinates></Point>"
Cama_Beach,Cama Beach,campground,North Puget Sound Region,https://sites.google.com/site/virtualrangerproject/home/files/CamaBeach.jpg,"Cama Beach offers visitors a chance to step back in time to a 1930s-era Puget Sound fishing resort complete with waterfront cedar cabins and bungalows. These have been refurbished, with modern conveniences added, and are available for rent year round to individuals and groups.","The area, used for centuries by Native Americans for fishing and hunting, looks out on sweeping views of the Sound, with Whidbey Island and the Olympic Mountains beyond.",http://parks.state.wa.us/483/Cama-Beach,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1847,Park Map,,,"<Point><coordinates>-122.513216,48.141754,0.0</coordinates></Point>"
Camano_Island,Camano Island,campground,North Puget Sound Region,https://sites.google.com/site/virtualrangerproject/home/files/CamanoIsland.jpg,"Camano Island State Park is a 134-acre camping park with 6,700 feet of rocky shoreline and beach. The park provides sweeping views of the surrounding mountains and offers opportunities for shellfish harvesting.","After the land was designated for use as a park in 1949, the initial development was accomplished in a single day by nearly 900 volunteers from Stanwood and Camano Island. The park celebrated its 50th birthday in July, 1999.",http://parks.state.wa.us/484/Camano-Island,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1848,Park Map,,,"<Point><coordinates>-122.493286,48.125822,0.0</coordinates></Point>"
Camp_Wooten_ELC,Camp Wooten ELC,sunny,,https://sites.google.com/site/virtualrangerproject/home/files/CampWooten.jpg,"Located on the Tucannon River in the Blue Mountains, this center offers hiking on forested and mountain trails, canoeing on Donnie Lake and swimming in an indoor pool.","1930s era dining hall with fully equipped modern kitchen, freezers and walk-in cooler; 17 cabins each sleep 11; three cabins sleep six each; one cabin sleeps four; cedar meeting hall with fireplace; several outdoor shelters; restrooms and showers nearby; ADA access.",http://parks.state.wa.us/368/Camp-Wooten,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1849,Park Map,,,"<Point><coordinates>-117.697691,46.238202,0.0</coordinates></Point>"
Cape_Disappointment,Cape Disappointment,campground,Pacific Coast Region,https://sites.google.com/site/virtualrangerproject/home/files/CapeDisappointment.jpg,"Cape Disappointment State Park (formerly Fort Canby State Park) is a 1,882-acre camping park on the Long Beach Peninsula, fronted by the Pacific Ocean. The park offers two miles of ocean beach, two lighthouses, an interpretive center and hiking trails. Visitors enjoy beachcombing and exploring the area's rich natural and cultural history. The nearby coastal towns of Ilwaco and Long Beach feature special events and festivals spring through fall.","The Cape Disappointment Lighthouse was constructed in 1856 to warn seamen of the treacherous river bar known by then as ""the graveyard of the Pacific."" This is the oldest functioning lighthouse on the West Coast.",http://parks.state.wa.us/486/Cape-Disappointment,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1850,Park Map,,,"<Point><coordinates>-124.065718,46.285025,0.0</coordinates></Point>"
Centennial_Trail,Centennial Trail,hiker,Northeast Region,https://sites.google.com/site/virtualrangerproject/home/files/CentennialTrail.jpg,"Centennial Trail State Park is a 37 mile paved trail, managed by Riverside State Park. The park consists of a paved trail meandering along the Spokane River and extending from Nine Mile Falls to the Idaho state line.","The trail was dedicated and named the Centennial Trail in 1989, in commemoration of Washington state's 100th birthday that year. The trail contains interpretive signs and 42 historical sites, most of which remain unmarked.",http://parks.state.wa.us/487/Centennial-Trail,Park Website,,Park Map,,,"<Point><coordinates>-117.047785,47.697584,0.0</coordinates></Point>"
Clark_Island,Clark Island,campground,San Juan Islands Region,https://sites.google.com/site/virtualrangerproject/home/files/ClarkIsland.jpg?,"Clark Island is a 55-acre marine camping and moorage park with 11,292 feet of saltwater shoreline on the Strait of Georgia. Beaches are sandy on the west side of the island and smooth pea gravel on the east side.","Members of the 1841 Wilkes Expedition named the island after John Clark, a midshipman killed in Perry's Battle of Lake Erie.",http://parks.state.wa.us/488/Clark-Island,Park Website,,Park Map,,,"<Point><coordinates>-122.763885,48.700333,0.0</coordinates></Point>"
Columbia_Hills,Columbia Hills,campground,Columbia Gorge Region,https://sites.google.com/site/virtualrangerproject/home/files/ColumbiaHills.jpg,"Columbia Hills State Park (which includes the Horsethief Lake area and Dalles Mountain Ranch area) is a 3,338-acre camping park with 7,500 feet of freshwater shoreline on the Columbia River. Horsethief Butte dominates the skyline. It stands over the lake like an ancient castle. The lake itself is about 90 acres in size and is actually an impoundment of the Columbia River. The lake was flooded into existence by the reservoir created by The Dalles Dam.","For centuries, the park was the site of a Native American village. The Lewis and Clark expedition camped at the village and described its wooden houses in one of their journals. The village was flooded by the waters of The Dalles Dam.",http://parks.state.wa.us/489/Columbia-Hills,Park Website,http://www.parks.wa.gov/DocumentCenter/Home/View/1851,Park Map,,,"<Point><coordinates>-121.114003,45.646292,0.0</coordinates></Point>"
Columbia_Plateau_Trail,Columbia Plateau Trail,hiker,Northeast Region,https://sites.google.com/site/virtualrangerproject/home/files/ColumbiaPlateauTrail.jpg,"Columbia Plateau Trail State Park is a 4,109-acre, 130-mile-long rail-bed trail that traces the 1908 original path of the Spokane, Portland and Seattle Railroad. The route is most accessible at Cheney, with other less accessible points along the way. The route is steeped in history, with scenic vistas along the trail.","In the early 1900s, the Spokane, Portland and Seattle Railway Company constructed a rail bed in the area. The company, which never actually connected the line from Portland to Seattle, operated the steam, and later diesel, railway for more than 50 years.",http://parks.state.wa.us/490/Columbia-Plateau-Trail,Park Website,http://www.parks.wa.gov/DocumentCenter/Home/View/1853,Park Map,,,"<Point><coordinates>-117.560198,47.479578,0.0</coordinates></Point>"
Conconully,Conconully,campground,North Central Region,https://sites.google.com/site/virtualrangerproject/home/files/Conconully.jpg,"Conconully State Park is an 81-acre camping park with 5,400 feet of freshwater shoreline in north central Washington. Established as the oldest Bureau of Reclamation irrigation project in this part of the country, the park dates back to 1910. State Parks assumed administration in 1945.","Established as the oldest Bureau of Reclamation irrigation project, the park provided picnic facilities, a baseball field and a school location for the historic silver-mining town of Conconully. Conconully, which was the original county seat of Okanogan County, was washed away by a flood in 1894.",http://parks.state.wa.us/491/Conconully,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1855,Park Map,,,"<Point><coordinates>-119.753301,48.556689,0.0</coordinates></Point>"
Crawford,Crawford,sunny,Northeast Region,https://sites.google.com/site/virtualrangerproject/home/files/Crawford.jpg,"Crawford State Park is a 49-acre, forested day-use park featuring Gardner Cave, the third longest limestone cavern in Washington. This tourable cave is filled with stalactites, stalagmites, rimstone pools and flow stone.","Gardner Cave is the third longest limestone cavern in Washington. Its early history is unknown. Contemporary accounts indicate the cave was discovered in the summer of 1903 by Mr. Ed Gardner, who homesteaded a quarter section near the cave.",http://parks.state.wa.us/492/Crawford,Park Website,,Park Map,,,"<Point><coordinates>-117.369597,48.994909,0.0</coordinates></Point>"
Curlew_Lake,Curlew Lake,campground,Northeast Region,https://sites.google.com/site/virtualrangerproject/home/files/CurlewLake.jpg,"Curlew Lake State Park is a 123-acre camping park. It borders an air field, is eight miles from a public fossil dig and is also near an active osprey nest that can be viewed from the park. Curlew is one of the most relaxing campgrounds in the state, offering water-and snow-sport activity as well as natural-history and archeological study in the midst of gorgeous surroundings.",Curlew Lake State Park was a summer camp for some of the Indian tribes of this region.,http://parks.state.wa.us/493/Curlew-Lake,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1856,Park Map,,,"<Point><coordinates>-118.66033,48.718837,0.0</coordinates></Point>"
Cutts_Island,Cutts Island,sunny,South Puget Sound Region,https://sites.google.com/site/virtualrangerproject/home/files/CuttsIsland.jpg,"Cutts Island is a two-acre marine park situated on Carr Inlet. During low tide, the island has a very nice sand beach. The island features clay cliffs that allow visitors to walk to the top of the island and enjoy the view. The island is covered with various vegetation, and visitors need to be aware of poison oak.",,http://parks.state.wa.us/494/Cutts-Island,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1857,Park Map,,,"<Point><coordinates>-122.687877,47.320704,0.0</coordinates></Point>"
Damon_Point,Damon Point,sunny,,https://sites.google.com/site/virtualrangerproject/home/files/DamonPoint.jpg,"Damon Point, a 61-acre day-use park, is the southeastern tip of the Ocean Shores Peninsula. The park consists of a one-mile-long, half-mile-wide stretch of land jutting out into the sea. Damon Point is a textbook example of accreted land, and is one of the few remaining nesting sites of the snowy plover.","In recent years, severe winter storms along the Pacific Coast, and at Damon Point in particular, have resulted in the erosion and destruction of the park_��s access road, parking area and vault toilet. This unstoppable natural process has affected public access to the area. Due to the variability of future weather, it is unlikely that facilities at Damon Point will be rebuilt.",,Park Website,,Park Map,,,"<Point><coordinates>-124.13121,46.947493,0.0</coordinates></Point>"
Daroga,Daroga,campground,North Central Region,https://sites.google.com/site/virtualrangerproject/home/files/Daroga.jpg,"Daroga State Park is a 90-acre camping park with 1.5 miles of Columbia River shoreline on the elevated edge of the desert ""scablands."" The park features camping activities and water-sport access in a unique and beautiful outdoor environment.","The name ""Daroga"" comes from the first letters in the first names of the three Auvil brothers, Dave, Robert and Grady, who started an orchard/ranch at this site in 1928. The brothers developed a new type of peach on the ranch, catalogued as ""the Daroga Peach."" In 1981, Grady Auvil sold the property to the state of Washington.",http://parks.state.wa.us/495/Daroga,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1858,Park Map,,,"<Point><coordinates>-120.201538,47.707588,0.0</coordinates></Point>"
Dash_Point,Dash Point,campground,Seattle-Tacoma Region,https://sites.google.com/site/virtualrangerproject/home/files/DashPoint.jpg,"Dash Point State Park is a 398-acre camping park with 3,301 feet of saltwater shoreline on Puget Sound. The beach provides unobstructed views of the Sound and excellent opportunities for sea-life study.","The Dash Point area has been the subject of three survey expeditions since 1800. In the past, the property was called lson Landing, Fairview Beach and Woodstock Beach. The origin of the name ""Dash Point"" is unclear. In the late 1940s, the McLeod family sold the land to the state of Washington with the understanding the property would be used as a park. The park was dedicated in 1962.",http://parks.state.wa.us/496/Dash-Point,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1859,Park Map,,,"<Point><coordinates>-122.405958,47.314111,0.0</coordinates></Point>"
Deception_Pass,Deception Pass,campground,North West Region,https://sites.google.com/site/virtualrangerproject/home/files/DeceptionPass.jpg,"Deception Pass State Park is a 4,134-acre marine and camping park with 77,000 feet of saltwater shoreline, and 33,900 feet of freshwater shoreline on three lakes. Rugged cliffs drop to meet the turbulent waters of Deception Pass. The park is outstanding for breath-taking views, old-growth forests and abundant wildlife.","During his Northwest coastal explorations, Captain George Vancouver became the first European to identify the area near Whidbey Island as a passage, which he named ""Deception Pass."" A 1923 act of Congress designated the property for public recreation purposes. In the 1930s, the Civilian Conservation Corps (CCC) built roads, trails, buildings and bridges to develop the park.",http://parks.state.wa.us/497/Deception-Pass,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1861,Park Map,,,"<Point><coordinates>-122.646137,48.393918,0.0</coordinates></Point>"
Dosewallips,Dosewallips,campground,Olympic Peninsula Region,https://sites.google.com/site/virtualrangerproject/home/files/Dosewallips.jpg,"Dosewallips State Park is a 425-acre, year-round camping park with 5,500 feet of saltwater shoreline on Hood Canal and 5,400 feet of freshwater shoreline on either side of the Dosewallips River. The park is unique in that it offers both freshwater and saltwater activities. All camp areas are grassy and located in scenic, rustic settings.","Formerly called ""Dose Meadows,"" the flat fields of this park were old homestead sites prior to their existence as a park. Old rail beds are still in place where logs were hauled from the mountains down to the water prior to being floated to their destinations (ships and mills around Puget Sound).",http://parks.state.wa.us/499/Dosewallips,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1862,Park Map,,,"<Point><coordinates>-122.90127,47.689814,0.0</coordinates></Point>"
Doug_Beach,Doug's Beach,sunny,Columbia Gorge Region,https://sites.google.com/site/virtualrangerproject/home/files/DougsBeach.jpg,"Doug's Beach State Park is a 400-acre, undeveloped day-use park on the Columbia River. This is one of the premier windsurfing sites in the Columbia Gorge and is rated for advanced sailors. Parking is along the south side of SR 14. There is a pedestrian walkway behind the vehicle-parking area, fenced from passing trains. Visitors access the beach down a paved path with railroad-crossing arms and signals.","The park acquired its name from a windsurfer who used to frequent the beach when the sport was in its infancy. ""Doug"" still lives in the Gorge and owns a business in Hood River, Oregon.",http://parks.state.wa.us/500/Dougs-Beach,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1863,Park Map,,,"<Point><coordinates>-121.234657,45.677042,0.0</coordinates></Point>"
Eagle_Island,Eagle Island,sunny,South Puget Sound Region,https://sites.google.com/site/virtualrangerproject/home/files/EagleIsland.jpg,"Eagle Island is a 10-acre marine park with 2,600 feet of saltwater shoreline. The island sits on Balch Passage between McNeil and Anderson islands in South Puget Sound. Visitors can enjoy picnicking on the beach and watching harbor seals on the shoal at low tide.","The park was named after Harry Eagle, a member of the Wilkes Expedition.",http://parks.state.wa.us/501/Eagle-Island,Park Website,,Park Map,,,"<Point><coordinates>-122.696255,47.18772,0.0</coordinates></Point>"
Federation_Forest,Federation Forest,sunny,Seattle-Tacoma Region,https://sites.google.com/site/virtualrangerproject/home/files/FederationForest.jpg,"Federation Forest State Park is a day-use natural area with 619 acres of old growth evergreens. Located along the White River, the park provides visitors with 12 miles of hiking trail, three interpretive trails, an interpretive center with a gift shop and four picnic areas.","The park was acquired, built and organized through the work of Catherine Montgomery and her affiliation with the Washington State Federation of Women's Clubs. The park was dedicated in 1949 and was acquired in four parcels from 1941 to 1971.",http://parks.state.wa.us/502/Federation-Forest,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1864,Park Map,,,"<Point><coordinates>-121.702807,47.154841,0.0</coordinates></Point>"
Fields_Spring,Fields Spring,campground,South East Region,https://sites.google.com/site/virtualrangerproject/home/files/FieldsSpring.jpg,"Fields Spring State Park is a 792-acre forested camping park remotely located in the Blue Mountains of Southeastern Washington. A portion of the park sits at a height of 4,500 feet atop Puffer Butte and offers a spectacular view of three states and the Grande Ronde River.","This volcanically originated park was named after Mr. Fields, an early settler who developed a spring used by himself and neighboring settlers. The park is set along one of the Nez Perce Indian seasonal migration routes.",http://parks.state.wa.us/503/Fields-Spring,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1865,Park Map,,,"<Point><coordinates>-117.171992,46.078435,0.0</coordinates></Point>"
Flaming_Geyser,Flaming Geyser,sunny,Seattle-Tacoma Region,https://sites.google.com/site/virtualrangerproject/home/files/FlamingGeyser.jpg,"Flaming Geyser State Park is a 480-acre day-use park with more than three miles of freshwater shoreline on the Green River. The park's most unique feature is its ""geysers"" (methane seeps). Park activities include whitewater rafting and model airplane flying.","Flaming Geyser State Park has existed on this location since the 1920's. Operated as a private park into the 1960's, it fell into bankrupcy. State Parks rescued it from conversion to home development and has operated it as a park ever since.",http://parks.state.wa.us/504/Flaming-Geyser,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1866,Park Map,,,"<Point><coordinates>-122.030142,47.277106,0.0</coordinates></Point>"
Fort_Casey,Fort Casey,campground,North West Region,https://sites.google.com/site/virtualrangerproject/home/files/FortCasey.jpg,"Fort Casey State Park is a 467-acre marine camping park with a lighthouse and sweeping views of Admiralty Inlet and the Strait of Juan de Fuca. A coast artillery post features two 10-inch and two 3-inch historic guns on display. The park features 10,810 feet of saltwater shoreline on Puget Sound (Admiralty Inlet), and includes Keystone Spit, a two-mile-plus stretch of land separating Admiralty Inlet and Crocket Lake.",Today the Admiralty Head Lighthouse at Fort Casey serves as a historic landmark and interpretive center. The park was incorporated into Ebey's Landing National Historic Reserve in 1980.,http://parks.state.wa.us/505/Fort-Casey,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1867,Park Map,,,"<Point><coordinates>-122.67711,48.158902,0.0</coordinates></Point>"
Fort_Columbia,Fort Columbia,sunny,Pacific Coast Region,https://sites.google.com/site/virtualrangerproject/home/files/FortColumbia.jpg,"Fort Columbia State Park is a 593 acre day-use historical park located at the Chinook Point National Historic Landmark and along 6,400 feet of freshwater shoreline on the Columbia River. Within the park are original U.S. Army Coastal Artillery fort buildings and batteries, active from 1896 to 1947. This area was also home to the Chinook Indian Nation and their famed Chief Comcomly, and explored by Robert Gray and the Lewis and Clark expedition.","For the duration of three wars, Fort Columbia was fully manned and operational. Declared a surplus at the end of World War II, the fort transferred to the custody of the state of Washington in 1950 and was then designated as a state park. Twelve historic wood-frame buildings and four coastal defense batteries still stand on the premises.",http://parks.state.wa.us/506/Fort-Columbia,Park Website,,Park Map,,,"<Point><coordinates>-123.919172,46.252865,0.0</coordinates></Point>"
Fort_Ebey,Fort Ebey,campground,North West Region,https://sites.google.com/site/virtualrangerproject/home/files/FortEbey.jpg,"Fort Ebey State Park, a 645-acre camping park on Whidbey Island, was originally built as a coastal defense fort in World War II. Concrete platforms mark the gun locations. The park has three miles of saltwater shoreline on the Strait of Juan de Fuca, a freshwater lake for fishing, and miles of hiking and biking trails.",The park stands on the site of a World War II gun battery which had two six-inch guns in place during the war. The guns were later removed and scrapped.,http://parks.state.wa.us/507/Fort-Ebey,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1868,Park Map,,,"<Point><coordinates>-122.7569,48.22338,0.0</coordinates></Point>"
Fort_Flagler,Fort Flagler,campground,North Puget Sound Region,https://sites.google.com/site/virtualrangerproject/home/files/FortFlagler.jpg,"Fort Flagler State Park is a 784-acre marine camping park surrounded on three sides by 19,100 feet of saltwater shoreline. The park rests on a high bluff overlooking Puget Sound, with views of the Olympic and Cascade Mountains. Many historic buildings remain at this 19th-century-established military fort.","Fort Flagler, along with the heavy batteries of Fort Worden and Fort Casey, once guarded nautical entrance to Puget Sound. The property was purchased as a state park in 1955. Fort Flagler is named after Brigadier General Daniel Webster Flagler.",http://parks.state.wa.us/508/Fort-Flagler,Park Website,http://parks.state.wa.us/DocumentCenter/Home/View/1870,Park Map,,,"<Point><coordinates>-122.693834,48.09788,0.0</coordinates></Point>"
